,1
6905,408
5036,402
7314,401
2676,394
6186,393
7564,393
5596,390
2333,390
742,390
187,387
5003,387
3338,384
5045,384
8310,382
3561,382
1360,380
6710,380
6405,379
451,379
4242,377
2107,375
2712,372
6762,370
3488,368
3035,368
175,367
5954,364
7307,364
6830,364
1495,363
5590,362
3241,361
3770,360
5179,358
218,356
3342,356
5032,356
8831,355
939,354
6825,350
3072,350
3182,350
2106,349
7961,347
4405,347
5884,344
4597,342
1403,341
5127,340
2423,340
7724,340
915,337
7998,335
6551,332
382,332
2549,330
6591,330
4377,330
79,330
4912,329
7673,329
342,327
806,325
6046,325
5958,325
1580,324
1637,323
5408,323
6955,323
1754,322
5507,322
4687,322
2334,321
4926,321
7598,320
1853,318
680,316
7373,311
3578,310
1968,309
3075,306
5998,306
7843,303
1300,302
8479,300
6227,300
503,300
4675,299
2987,298
5953,297
1526,296
4099,294
986,294
4130,294
3628,293
4543,293
6610,293
8469,292
2361,292
876,291
4220,289
7592,289
122,289
3525,288
7274,287
8533,287
6575,286
25,286
7297,284
4309,284
4805,283
7648,281
5821,281
4260,279
1810,279
120,278
6513,277
8254,276
7143,273
6238,273
2247,273
6016,272
6533,271
3489,271
6524,270
913,270
3218,270
8330,269
2540,269
2241,268
3495,267
6044,267
5829,267
6175,266
3899,265
4155,264
8236,263
2783,263
5965,262
5116,262
2085,261
314,260
2619,260
6631,260
2645,260
6336,259
996,259
4453,259
2167,257
3871,256
5818,256
2963,256
8032,255
2973,255
683,255
3958,255
3493,255
2660,254
1598,253
685,253
8536,253
1157,253
6000,253
8856,250
4953,248
5423,247
3941,246
5777,246
3762,246
5124,246
7801,245
262,244
8363,244
6193,244
958,243
6738,242
1923,240
3559,240
4821,240
5472,240
150,239
5908,239
1182,238
6997,237
1950,237
4583,236
8510,236
6340,236
4282,236
931,235
6092,234
6568,232
547,232
6033,231
7076,231
5974,230
8186,230
1320,230
1829,229
3025,229
4951,229
4606,228
2693,228
7550,228
7524,227
2558,227
1540,227
5614,227
1418,226
4636,224
8724,224
5237,223
7832,223
7319,223
6466,223
2408,223
2592,223
7339,222
649,222
1390,222
6146,222
3499,221
2835,220
6043,220
6852,220
5337,219
6511,218
618,217
5429,217
7490,216
1644,214
4002,214
2196,214
2104,214
173,213
1398,213
8641,213
6388,212
2479,212
3596,212
8734,212
7054,212
7212,211
6375,211
303,211
5557,210
3360,210
4057,210
3750,209
2889,209
8441,209
2738,208
5294,208
6085,208
3897,207
796,207
8773,206
7286,205
2339,205
20,204
8394,203
3155,203
1772,203
6664,202
582,202
3773,202
6734,202
2422,202
1663,202
8546,202
1530,202
4570,202
3766,202
7409,201
1654,201
1793,200
8286,200
7427,200
508,200
1749,199
397,199
1011,199
1830,198
5632,198
7016,198
8069,198
5704,198
3171,198
8258,198
8253,198
2848,198
3123,198
5376,198
8349,198
5140,197
5512,197
1713,197
2635,196
2923,196
1352,196
3809,195
2202,194
5362,194
15,194
5866,193
4472,193
7132,193
1454,192
7958,192
4975,192
75,191
1943,191
2733,190
2233,190
4146,190
5414,190
6296,190
3560,190
8218,189
3170,189
5697,189
7397,188
1194,188
2306,188
5556,187
40,187
7792,187
5363,186
1794,186
1221,184
2206,184
1620,184
2441,183
2225,183
372,183
1631,183
6549,183
8055,182
3971,181
8712,181
8600,180
1588,180
5261,179
2308,179
6404,179
8651,179
5787,178
6746,178
281,178
512,178
165,178
6926,178
3038,178
5236,177
8366,177
2703,177
3210,177
6915,176
4517,176
7194,176
477,175
5155,175
7411,174
1448,174
786,174
2655,173
5651,173
2536,173
2574,173
8050,173
3096,173
6440,172
2128,172
6764,172
599,172
5775,171
1601,170
87,170
7657,170
113,169
2749,169
6475,169
961,169
3526,169
4654,169
5713,169
5481,169
6534,168
8230,167
3625,167
4753,167
1491,167
6923,167
7176,167
8246,166
8410,166
3028,166
4572,166
6566,166
779,165
1776,165
8808,165
4442,164
2532,164
814,164
3951,164
7908,163
7503,163
8188,163
4856,163
6863,162
5688,162
2279,162
8058,161
1148,161
35,161
1282,161
2322,161
7672,161
6173,161
2930,161
6164,161
1913,160
178,160
3717,160
7982,159
1942,159
2288,159
4908,158
1951,158
4649,158
4945,158
4728,158
4430,157
7667,157
3898,157
246,156
3103,156
755,156
6418,156
869,156
2869,156
2469,155
8251,155
1807,155
3813,155
6539,154
3656,154
3330,154
7136,154
3732,154
6316,154
5800,154
3291,154
833,154
5053,154
2404,154
3619,154
1193,153
7403,153
4511,152
1982,151
7043,151
3567,150
288,150
7805,150
1571,150
3367,150
4180,150
6121,149
6775,149
6446,149
6361,149
3139,148
4766,148
7008,148
5524,148
7064,148
1159,147
2975,147
8276,147
5356,147
8736,147
7452,147
3551,146
7232,146
6987,146
8259,146
6182,146
8771,146
441,146
1859,146
5888,146
3257,145
5183,145
8396,145
6749,145
7889,144
8011,144
3669,144
6868,144
800,143
6817,143
207,143
3891,142
7721,142
4528,142
2070,142
5864,142
1083,142
1253,142
4234,141
7169,141
5788,141
6403,141
3857,141
6290,141
7989,141
6412,140
6768,140
1900,140
5158,139
7347,139
8575,139
7445,138
8126,137
3927,137
5029,137
8112,137
5689,137
2593,137
6389,137
211,136
8216,136
3165,136
7460,136
7369,136
3928,136
7315,136
4523,136
4468,135
1837,135
3353,135
8693,135
4128,135
7646,134
7153,134
2700,134
7012,134
2319,134
1959,134
600,134
7823,134
5554,133
5928,133
2899,133
74,133
2982,133
5265,133
3398,132
4936,132
5986,132
3376,132
92,132
5774,132
1013,132
2615,132
1498,132
7414,131
6993,131
2435,131
7495,131
5089,131
4102,131
6445,130
5630,130
4862,130
7174,130
1452,130
2372,129
4759,129
8656,129
3479,129
457,128
3389,128
6372,128
2169,128
6540,128
3997,128
4011,128
3777,128
5939,128
4696,128
7237,128
194,127
3803,127
8733,127
7229,127
3114,127
5664,127
4600,127
1570,127
4053,126
2519,126
2666,126
4441,126
2857,126
7233,126
8466,126
4392,125
6669,125
7871,125
4765,125
5537,125
3903,125
7177,125
1916,125
665,125
7515,124
3555,124
7045,124
1037,124
3954,124
4869,123
3877,123
2069,123
4700,123
2463,123
8795,123
822,123
6359,123
7927,123
2296,123
4123,123
8131,123
3952,122
1214,122
3431,122
4973,122
8710,122
7097,122
4466,121
7959,121
72,121
1653,121
1257,121
8402,120
478,120
6416,120
5018,120
5535,120
5672,120
8545,120
8277,120
1742,120
2669,120
2559,120
3917,119
5259,119
6816,119
7072,119
3168,119
2477,119
674,119
5135,119
1443,118
5696,118
5211,118
2988,118
5281,118
7841,118
463,118
7922,118
6739,118
6453,117
6378,117
7195,117
5257,117
5147,117
1243,117
8282,117
4487,117
4470,117
8473,116
3626,116
4839,116
5070,116
8122,116
5207,116
8234,115
8496,115
1627,115
7029,115
1474,115
5371,115
4673,114
6606,114
8666,114
3424,114
3305,114
3130,114
7435,114
3116,114
3589,114
3315,114
8375,113
1646,113
5606,113
5796,113
8000,113
4117,113
7170,113
2067,113
1412,113
7301,113
3872,113
3886,113
6145,113
4342,112
8212,112
6080,112
4546,112
5038,112
7580,112
889,112
3466,112
3545,111
5968,111
8405,111
5813,111
6750,111
4789,110
6615,110
2493,110
4367,110
3318,110
4265,110
5527,110
2442,109
4321,109
6902,109
1036,109
1574,109
5769,109
6029,108
8493,108
5969,108
4930,108
555,108
729,108
6694,107
351,107
5627,107
4569,107
8108,107
2969,107
8309,107
709,107
7106,106
5789,106
724,106
2112,106
3337,106
2631,106
2199,106
2912,106
2320,106
874,106
8013,106
2487,106
3802,105
4272,105
5027,105
6594,105
792,105
6713,105
5971,105
2397,105
5338,105
7181,105
5091,105
8661,105
8226,105
2652,105
6497,105
6380,104
1061,104
7279,104
7812,104
1613,104
698,104
8090,104
8840,104
7362,104
7803,104
1576,104
7795,104
605,103
7234,103
7465,103
7619,103
3109,103
7201,103
5033,103
5538,103
1175,103
5737,103
8500,102
1023,102
179,102
4617,102
3390,102
4989,102
1765,102
2520,102
8638,102
8098,102
6101,102
620,102
4471,101
495,101
4787,101
3916,101
4451,101
8616,101
7967,101
531,101
7758,101
8269,101
6060,101
1553,101
5470,100
1298,100
7415,100
3811,100
5212,100
1266,100
4275,100
6761,100
723,100
2595,100
3862,99
5985,99
1865,99
5111,99
4376,99
8559,99
3892,99
8508,99
5132,99
3158,99
3175,99
6998,99
5791,99
3980,98
7601,98
5075,98
7682,98
2389,98
1472,98
1767,98
4830,97
4030,97
8497,97
4536,97
3472,97
2391,97
8632,97
2407,97
7158,97
8535,97
3581,97
670,97
4338,97
3089,96
8274,96
17,96
3299,96
5202,96
5425,96
1648,96
4186,96
8179,96
411,96
1544,96
8716,96
3267,96
109,96
19,96
6224,96
2338,96
8314,96
3646,96
5441,95
7046,95
768,95
6619,95
7586,95
1650,95
5353,95
6190,95
8505,95
8265,95
6577,95
8021,95
7147,95
5847,95
1815,95
6066,95
447,95
3513,95
435,95
4018,95
4208,95
2764,94
201,94
3485,94
2399,94
5123,94
6122,94
3568,94
3987,94
711,94
6769,93
3094,93
1370,93
4638,93
5896,93
4576,93
4664,93
7771,93
7476,92
2711,92
132,92
3442,92
1915,92
8239,92
4331,92
2305,92
1430,92
6089,92
7034,92
1814,92
6882,92
8570,92
898,92
6508,92
6858,91
5243,91
1191,91
5819,91
2309,91
524,91
2690,91
5762,91
2567,90
3616,90
809,90
3810,90
6184,90
1893,90
7470,90
7852,90
1208,90
6879,90
8706,90
1127,90
677,90
5639,90
1655,90
7782,90
2051,90
1979,90
3505,89
4832,89
2215,89
2314,89
4782,89
3507,89
4791,89
6935,89
8355,89
4758,89
734,89
4742,89
883,89
2678,89
8597,89
3634,89
1446,88
8764,88
5301,88
6059,88
2352,88
4434,88
6168,88
1345,88
5233,88
8421,88
2382,87
4489,87
5310,87
5559,87
4294,87
8047,87
3512,87
6265,87
2007,87
6144,87
5490,87
6620,87
5520,86
5407,86
5855,86
6333,86
6371,86
233,86
587,86
7052,86
3979,85
3480,85
1015,85
1872,85
273,85
4327,85
7468,85
699,85
4206,85
3468,85
7573,85
2550,85
8204,84
2609,84
5609,84
656,84
8097,84
8517,84
1993,84
5840,84
6180,83
5578,83
7629,83
2224,83
2330,83
643,83
112,83
6096,83
5516,83
200,83
5892,83
4364,83
1005,83
1616,83
574,83
8607,83
7231,82
4910,82
7652,82
1264,82
2561,82
7785,82
7939,82
672,82
5097,82
7144,82
410,82
6814,82
6763,81
5585,81
4287,81
1998,81
8527,81
6607,81
2756,81
941,81
3245,81
5040,81
3709,81
2094,81
1554,81
4691,81
5963,81
2902,81
93,81
4271,80
7776,80
4533,80
2999,80
8825,80
2668,80
4530,80
5643,80
5136,80
1805,80
8843,79
5,79
4375,79
1434,79
3386,79
6721,79
4473,79
6084,79
7534,79
8711,79
6917,79
4768,79
8332,79
8555,79
1310,79
1873,79
5213,79
8563,79
5332,79
6611,78
7748,78
844,78
1215,78
7799,78
1831,78
7849,78
7539,78
2453,78
5195,78
3269,78
777,78
3477,78
1638,78
3214,77
7086,77
5509,77
4149,77
3326,77
1180,77
8654,77
2932,77
5552,77
1342,77
1361,77
5387,76
5887,76
5947,76
2269,76
8033,76
5327,76
7257,76
1884,76
3013,76
7074,75
5828,75
4992,75
492,75
3379,75
3482,75
989,75
7846,75
3923,75
3136,75
640,75
3164,75
2400,75
2754,75
7840,74
7499,74
7644,74
7761,74
3607,74
7228,74
1560,74
423,74
7241,74
4194,74
8786,74
6776,74
1750,74
8415,74
6530,74
5673,74
2950,74
4403,74
4538,74
7023,74
2164,73
3674,73
4137,73
8605,73
5030,73
619,73
3553,73
6360,73
4084,73
8161,73
2480,73
7698,73
2913,73
461,72
6163,72
7925,72
7589,72
4599,72
1218,72
1160,72
6649,72
6280,72
2195,72
5734,72
456,72
6321,72
5575,72
8209,72
5846,72
7907,72
3388,71
6027,71
2821,71
1902,71
6604,71
5013,71
2360,71
5731,71
2618,71
1866,71
3138,71
1417,71
2219,71
7129,71
7960,71
1134,71
3765,71
2227,71
6894,70
6701,70
2145,70
3476,70
4389,70
3029,70
7636,70
1163,70
7678,70
6031,70
1052,70
3848,70
6628,70
2872,70
2336,69
2616,69
3352,69
2929,69
4542,69
7562,69
7930,69
5313,69
6241,69
4279,69
1800,69
6777,69
664,69
4320,69
4484,69
8577,69
5086,69
1851,69
8291,69
2403,69
4968,69
1317,68
4233,68
7101,68
1305,68
7894,68
5415,68
8636,68
6528,68
4937,68
442,68
4740,68
1213,68
4677,68
1216,68
2240,68
1778,68
3861,68
1579,68
561,68
7161,68
1497,68
4370,67
497,67
2508,67
4894,67
6756,67
7963,67
5015,67
5709,67
5783,67
7588,67
6535,67
464,67
6137,67
2736,67
305,67
1848,67
7591,67
6395,67
39,67
963,67
6787,67
1891,67
3316,67
8667,67
2780,67
4676,67
4017,66
3660,66
5396,66
134,66
1606,66
6259,66
707,66
1168,66
978,66
2863,66
8095,66
4366,66
8613,66
7719,66
6693,66
7920,66
5463,66
2232,66
3176,66
3199,66
6767,66
7872,66
997,66
4643,66
7421,66
2130,66
2075,65
7446,65
2062,65
3172,65
4932,65
4919,65
3779,65
4705,65
6165,65
3462,65
4509,65
412,65
7604,65
1514,65
2368,65
7686,65
3062,65
6426,65
2456,65
3755,65
4929,65
343,64
3554,64
1693,64
219,64
4574,64
3707,64
2440,64
2230,64
5871,64
2662,64
6937,64
4888,64
2369,64
4749,64
8586,64
7934,64
7587,64
6401,64
2774,64
5875,64
1700,64
1809,64
4393,64
4852,64
2189,64
4332,64
2729,64
6725,64
8353,64
2186,64
2047,64
7222,64
4986,64
4972,64
8184,64
5995,64
2883,64
4924,64
8146,64
6829,63
4467,63
251,63
1035,63
4981,63
7417,63
386,63
2979,63
6792,63
2119,63
4291,63
2981,63
5314,63
7321,63
4853,63
6386,63
1896,63
1973,63
2452,63
7809,63
4276,63
1177,63
3191,63
5602,63
7996,63
8080,63
4419,63
3868,63
7893,63
8828,63
5707,63
8278,63
7842,63
7584,62
5576,62
8157,62
1187,62
8561,62
3364,62
4679,62
5385,62
4933,62
7797,62
7042,62
1725,62
7204,62
1427,62
6982,62
6394,62
8321,62
4074,62
1675,62
5867,62
6270,62
2896,62
2019,62
5022,61
4014,61
2891,61
55,61
4191,61
803,61
8110,61
420,61
7581,61
7007,61
7191,61
8456,61
1464,61
8283,61
4575,61
5420,61
1898,61
798,61
1256,61
8699,61
5946,61
5625,61
4120,61
5736,61
6,61
3313,60
3921,60
4026,60
6483,60
7788,60
7632,60
799,60
2491,60
2251,60
5978,60
2855,60
2632,60
564,60
7126,60
6810,60
5923,60
5077,60
373,60
1367,60
604,60
6679,59
8206,59
434,59
1513,59
133,59
3882,59
1636,59
110,59
4827,59
7441,59
3539,59
483,59
1115,59
3552,59
1995,59
4160,59
5181,59
6179,59
871,59
938,59
8683,59
6317,59
7819,59
3855,59
4313,59
3387,59
2226,59
638,59
2074,59
2089,59
1768,59
7298,59
7684,59
7816,59
8364,58
5859,58
2990,58
8655,58
4006,58
4211,58
1938,58
5163,58
7294,58
1118,58
4407,58
7489,58
5657,58
2623,58
5269,58
3192,58
3519,58
5792,58
6913,58
4567,58
6442,58
2726,58
854,58
951,58
6900,58
7486,58
1708,58
8124,58
7798,58
7381,58
5706,58
5915,58
7024,58
7949,58
5742,58
2944,58
143,58
6390,58
4483,58
7979,58
4239,57
6964,57
4270,57
3795,57
7209,57
994,57
6553,57
4452,57
6369,57
543,57
7506,57
3729,57
2734,57
2243,57
4224,57
6605,57
6572,57
105,57
5601,57
8128,57
5122,57
6090,57
3849,57
8135,57
4785,57
8835,57
7892,57
7772,57
2093,56
4921,56
1687,56
48,56
2257,56
3222,56
3312,56
329,56
5274,56
4258,56
6102,56
3982,56
2004,56
5289,56
2042,56
5246,56
4964,56
7491,56
5143,56
6277,56
4736,56
3490,56
6896,56
3104,56
5225,56
7722,56
6794,55
1435,55
5107,55
8043,55
8111,55
6828,55
3827,55
5824,55
250,55
2496,55
3757,55
5739,55
6117,55
1057,55
5329,55
2162,55
5334,55
2430,55
8093,55
3235,55
3840,55
4595,55
621,55
8357,55
4378,55
304,55
2503,55
4438,55
4634,55
7625,55
949,54
5608,54
7324,54
7018,54
6603,54
2180,54
229,54
1413,54
3240,54
4013,54
6274,54
4317,54
4882,54
3037,54
663,54
2259,54
60,54
6196,54
7560,53
4354,53
7986,53
1541,53
7926,53
5474,53
8748,53
4784,53
7716,53
50,53
3529,53
8501,53
2262,53
4544,53
983,53
5574,53
2993,53
7003,53
5299,53
2613,53
5223,53
7013,53
4214,53
385,53
2784,53
3193,53
4904,53
8351,53
7104,53
1288,52
7094,52
4950,52
4861,52
6009,52
2877,52
819,52
3815,52
8676,52
4100,52
5297,52
5347,52
2675,52
7904,52
239,52
2702,52
3909,52
3349,52
4044,52
2287,52
6662,52
4245,52
4694,52
1309,52
2568,52
6107,52
4003,52
7786,51
6347,51
6377,51
8020,51
5907,51
400,51
894,51
5752,51
5477,51
6642,51
2692,51
2882,51
3041,51
1818,51
4974,51
6760,51
1841,51
6797,51
1141,51
431,51
6176,51
3635,51
7602,51
1597,51
7579,51
8722,51
5654,51
1284,51
1044,51
2371,51
8528,51
5776,51
1065,51
2490,51
2166,51
6183,50
648,50
6681,50
31,50
4266,50
7337,50
5336,50
7346,50
1909,50
4462,50
2432,50
8340,50
7182,50
8391,50
8673,50
5964,50
86,50
8088,50
2135,50
4857,50
4447,50
8380,50
1481,50
8806,50
592,50
6185,50
5360,50
3453,50
2591,50
7557,49
6790,49
1774,49
3823,49
6210,49
375,49
5042,49
8393,49
2177,49
4828,49
3666,49
5831,49
6379,49
7987,49
384,49
3665,49
5686,49
3768,49
6880,49
1476,49
1852,49
7777,49
4230,49
794,49
2222,49
8745,49
7426,49
6996,49
521,49
496,49
8587,49
2722,49
28,49
4652,49
5586,49
81,49
6574,49
13,49
1322,49
6729,49
715,49
771,49
1377,49
5345,49
8245,48
8244,48
7848,48
1672,48
8123,48
7099,48
4689,48
88,48
7902,48
2267,48
85,48
3302,48
7060,48
298,48
5160,48
1270,48
1888,48
632,48
6006,48
6086,48
1944,48
4369,48
6670,48
7828,48
1516,48
2358,48
203,48
3785,48
4198,48
6071,48
8642,48
6153,48
1028,48
6285,48
4859,48
1001,48
5479,48
8143,48
8201,48
3082,48
7302,48
6561,48
2837,48
2165,48
406,48
2005,48
1143,47
2142,47
8560,47
2582,47
5836,47
1791,47
7746,47
6057,47
4792,47
4004,47
4983,47
3602,47
7757,47
6684,47
5966,47
615,47
4611,47
7342,47
6689,47
3301,47
7464,47
7808,47
714,47
3230,47
2755,47
1111,47
1242,47
7754,47
5253,47
3644,47
519,47
2681,47
3287,47
7811,47
4202,47
6502,47
3276,46
7358,46
2580,46
1662,46
6652,46
6414,46
6230,46
5078,46
7125,46
2109,46
6409,46
3045,46
2663,46
2072,46
1804,46
6218,46
2194,46
2967,46
2688,46
7098,46
2002,46
8610,46
1529,46
6946,46
6724,46
5206,46
6501,46
4568,46
5403,46
6034,46
2437,46
4872,46
4644,46
8262,46
7448,46
6081,46
7048,46
5708,46
1447,46
3771,45
1927,45
4545,45
770,45
7571,45
8025,45
2235,45
6546,45
2823,45
5428,45
598,45
44,45
6510,45
7616,45
4965,45
7968,45
5364,45
7553,45
1136,45
5066,45
5343,45
5382,45
328,45
3146,45
3343,45
3573,45
130,45
3562,45
6676,45
7015,45
1615,45
3264,45
2384,45
395,45
4750,45
5610,45
6678,45
8140,45
487,45
5881,45
5180,45
2603,45
7316,45
2286,44
4571,44
2125,44
8824,44
8674,44
6627,44
3043,44
7881,44
7858,44
5285,44
3966,44
5394,44
6752,44
2473,44
7733,44
626,44
2081,44
5809,44
8267,44
3975,44
3663,44
2862,44
3585,44
5961,44
1219,44
6671,44
3253,44
4760,44
4351,44
8316,44
7851,44
6112,44
4710,44
6532,44
8384,44
8318,44
6251,44
3977,44
1314,44
6235,44
3961,44
4454,43
6154,43
6300,43
767,43
7953,43
1948,43
3584,43
5393,43
5937,43
4678,43
840,43
2467,43
5172,43
8070,43
2901,43
3760,43
2742,43
4640,43
5879,43
8064,43
7606,43
183,43
5919,43
6255,43
4976,43
5288,43
3178,43
5691,43
825,43
5862,43
8359,43
8558,43
8142,43
4931,43
5430,43
317,43
7882,43
230,43
2844,43
5618,43
5139,43
6876,43
7474,43
2556,43
149,42
4178,42
6381,42
4996,42
541,42
357,42
2696,42
77,42
7278,42
6243,42
5613,42
4163,42
5977,42
1339,42
4257,42
5101,42
8731,42
8751,42
8556,42
4732,42
7528,42
2625,42
4126,42
3281,42
4665,42
83,42
1091,42
7932,42
3925,42
5545,42
7796,42
6779,42
7896,42
2842,42
5001,42
804,42
2450,42
5083,42
7502,42
1626,42
2173,42
3658,42
8342,42
8848,42
6363,41
2485,41
2576,41
2621,41
3346,41
4962,41
4037,41
7905,41
2328,41
6346,41
7146,41
6537,41
3426,41
8602,41
4225,41
6514,41
7827,41
4734,41
5685,41
7220,41
6223,41
4622,41
1487,41
4846,41
3248,41
8056,41
7330,41
8793,41
836,41
5646,41
2648,41
2723,41
2836,41
297,41
2511,41
4739,41
5822,41
5205,41
7977,41
3292,41
5956,41
4581,40
3690,40
4114,40
5121,40
1188,40
7690,40
3441,40
6983,40
5910,40
3520,40
7063,40
4383,40
4171,40
8284,40
8846,40
5906,40
3211,40
3632,40
7071,40
4500,40
7196,40
6784,40
7093,40
6801,40
2659,40
8087,40
5681,40
8853,40
795,40
4077,40
7154,40
2138,40
471,40
2113,40
4267,40
7834,40
7193,40
1764,40
6657,40
5085,40
4775,40
936,40
1453,40
3310,40
8059,40
1343,40
7328,40
6439,40
3541,40
1051,40
3064,40
4345,40
295,40
3960,40
4,40
6740,40
7312,40
7566,39
7260,39
7529,39
4801,39
706,39
2807,39
8702,39
6753,39
1522,39
2244,39
2876,39
6609,39
4009,39
4421,39
1850,39
811,39
8692,39
8504,39
3289,39
8004,39
6743,39
2258,39
69,39
8588,39
5150,39
5188,39
6832,39
7447,39
3492,39
1605,39
1604,39
8130,39
4635,39
255,39
6099,39
3636,39
1301,39
1096,39
1685,39
5330,39
4360,39
7745,39
4326,39
6348,38
4518,38
5383,38
3128,38
1880,38
2908,38
6573,38
5331,38
554,38
1697,38
4296,38
8027,38
3434,38
2092,38
3826,38
5936,38
6131,38
5825,38
7089,38
6152,38
5080,38
2153,38
1068,38
7416,38
7134,38
4793,38
6437,38
8482,38
8481,38
6843,38
6451,38
6892,38
4502,38
1738,38
1528,38
8837,38
4499,38
1362,38
6638,38
2664,38
1751,38
4431,38
1762,38
6278,38
5996,38
5349,38
4325,38
8377,38
3339,38
2586,38
7444,38
6212,38
4903,38
8174,38
1676,38
4111,38
8099,38
2735,38
8784,38
2136,38
5377,38
3833,38
6503,38
2885,37
1337,37
2449,37
1043,37
4809,37
5666,37
1640,37
266,37
5157,37
805,37
1515,37
8360,37
6871,37
7259,37
6467,37
8589,37
4113,37
7185,37
4240,37
4761,37
2281,37
3549,37
5536,37
3106,37
2868,37
5677,37
5543,37
6559,37
4384,37
7357,37
4140,37
5566,37
2585,37
1932,37
2347,37
7516,37
5795,37
7868,37
4746,37
1811,37
8263,37
6680,37
7150,37
5905,37
2957,37
2271,37
5141,37
8076,37
7055,37
7944,36
1926,36
3071,36
2834,36
2120,36
7293,36
4512,36
601,36
4306,36
3151,36
3450,36
8169,36
6782,36
6565,36
6827,36
7290,36
6914,36
8746,36
6686,36
7718,36
2237,36
1769,36
4299,36
8681,36
4249,36
7929,36
7133,36
2727,36
4799,36
8547,36
731,36
1718,36
355,36
5815,36
5653,36
8354,36
3239,36
4036,36
4645,36
7670,36
2492,36
2606,36
6629,36
6869,36
2909,36
8092,36
6490,36
6967,36
1731,36
7469,36
1940,36
8523,36
3743,36
3383,36
8758,36
6862,36
7084,36
3423,36
6459,36
2894,36
943,36
929,35
2705,35
1279,35
2811,35
7663,35
5841,35
959,35
1714,35
1999,35
3836,35
4248,35
1316,35
8388,35
1060,35
3890,35
5725,35
4203,35
8818,35
3372,35
1034,35
460,35
7471,35
1007,35
7886,35
5433,35
2264,35
6111,35
7867,35
824,35
8057,35
2168,35
4229,35
6658,35
2977,35
5232,35
3752,35
7250,35
4423,35
3439,35
6422,35
5511,35
7643,35
7793,35
8464,35
5004,35
7999,35
5351,35
8341,35
971,35
1353,35
362,35
2376,35
3986,35
859,35
5598,35
4958,35
5851,35
